ds,y
2005-11-25,2053
2005-11-26,7970
2005-11-27,9370
2005-11-28,3330
2005-11-29,1179
2005-11-30,1589
2005-12-01,1021
2005-12-02,1315
2005-12-03,1746
2005-12-04,1630
2005-12-05,941
2005-12-06,552
2005-12-07,774
2005-12-08,736
2005-12-09,851
2005-12-10,1498
2005-12-11,1820
2005-12-12,520
2005-12-13,393
2005-12-14,536
2005-12-15,578
2005-12-16,809
2005-12-17,736
2005-12-18,1391
2005-12-19,572
2005-12-20,967
2005-12-21,476
2005-12-22,363
2005-12-23,549
2005-12-24,2112
2005-12-25,3325
2005-12-26,1131
2005-12-27,786
2005-12-28,999
2005-12-29,1282
2005-12-30,1008
2005-12-31,2960
2006-01-01,2997
2006-01-02,2493
2006-01-03,1838
2006-01-04,1089
2006-01-05,989
2006-01-06,975
2006-01-07,1517
2006-01-08,3362
2006-01-09,1757
2006-01-10,1640
2006-01-11,1528
2006-01-12,1674
2006-01-13,593
2006-01-14,4720
2006-01-15,9229
2006-01-16,3666
2006-01-17,2070
2006-01-18,2048
2006-01-19,2168
2006-01-20,2174
2006-01-21,5225
2006-01-22,5521
2006-01-23,1139
2006-01-24,1157
2006-01-25,1336
2006-01-26,1224
2006-01-27,1370
2006-01-28,3465
2006-01-29,5376
2006-01-30,10917
2006-01-31,5050
2006-02-01,2402
2006-02-02,1387
2006-02-03,762
2006-02-04,1026
2006-02-05,2765
2006-02-06,1612
2006-02-07,750
2006-02-08,624
2006-02-09,846
2006-02-10,968
2006-02-11,3753
2006-02-12,6987
2006-02-13,2506
2006-02-14,954
2006-02-15,1352
2006-02-16,1811
2006-02-17,789
2006-02-18,4094
2006-02-19,13067
2006-02-20,5581
2006-02-21,4176
2006-02-22,2587
2006-02-23,3301
2006-02-24,3833
2006-02-25,12886
2006-02-26,11523
2006-02-27,3639
2006-02-28,1586
2006-03-01,8256
2006-03-02,2253
2006-03-03,975
2006-03-04,6050
2006-03-05,14667
2006-03-06,5816
2006-03-07,2757
2006-03-08,2641
2006-03-09,2503
2006-03-10,2429
2006-03-11,3525
2006-03-12,3704
2006-03-13,756
2006-03-14,1103
2006-03-15,2262
2006-03-16,706
2006-03-17,2561
2006-03-18,10029
2006-03-19,12295
2006-03-20,4608
2006-03-21,3875
2006-03-22,3662
2006-03-23,2885
2006-03-24,3403
2006-03-25,24105
2006-03-26,39757
2006-03-27,9929
2006-03-28,2249
2006-03-29,1742
2006-03-30,2414
2006-03-31,5208
2006-04-01,3110
2006-04-02,8627
2006-04-03,8926
2006-04-04,4027
2006-04-05,10670
2006-04-06,9316
2006-04-07,6227
2006-04-08,21664
2006-04-09,32570
2006-04-10,10449
2006-04-11,12921
2006-04-12,20079
2006-04-13,11443
2006-04-14,20473
2006-04-15,38758
2006-04-16,52782
2006-04-17,20758
2006-04-18,18160
2006-04-19,5934
2006-04-20,14398
2006-04-21,25278
2006-04-22,38120
2006-04-23,20630
2006-04-24,46153
2006-04-25,24146
2006-04-26,20527
2006-04-27,25146
2006-04-28,28200
2006-04-29,26645
2006-04-30,31640
2006-05-01,33030
2006-05-02,21353
2006-05-03,13258
2006-05-04,22369
2006-05-05,58582
2006-05-06,7817
2006-05-07,42281
2006-05-08,14691
2006-05-09,17640
2006-05-10,8760
2006-05-11,21465
2006-05-12,24372
2006-05-13,32855
2006-05-14,77205
2006-05-15,24124
2006-05-16,16928
2006-05-17,11835
2006-05-18,17367
2006-05-19,16809
2006-05-20,27522
2006-05-21,45794
2006-05-22,11855
2006-05-23,13360
2006-05-24,12377
2006-05-25,14973
2006-05-26,13168
2006-05-27,6940
2006-05-28,49149
2006-05-29,8009
2006-05-30,15631
2006-05-31,55774
2006-06-01,8713
2006-06-02,9497
2006-06-03,24320
2006-06-04,43614
2006-06-05,16629
2006-06-06,60571
2006-06-07,7153
2006-06-08,7331
2006-06-09,12124
2006-06-10,5019
2006-06-11,20673
2006-06-12,8028
2006-06-13,7778
2006-06-14,3366
2006-06-15,6335
2006-06-16,10715
2006-06-17,22878
2006-06-18,31925
2006-06-19,5194
2006-06-20,8435
2006-06-21,1770
2006-06-22,6273
2006-06-23,8062
2006-06-24,18719
2006-06-25,29920
2006-06-26,2389
2006-06-27,3387
2006-06-28,5723
2006-06-29,4628
2006-06-30,1624
2006-07-01,7621
2006-07-02,22268
2006-07-03,4604
2006-07-04,774
2006-07-05,3252
2006-07-06,4123
2006-07-07,4322
2006-07-08,23950
2006-07-09,19862
2006-07-10,670
2006-07-11,3134
2006-07-12,987
2006-07-13,1703
2006-07-14,2339
2006-07-15,2582
2006-07-16,381
2006-07-17,4846
2006-07-18,621
2006-07-19,2774
2006-07-20,3990
2006-07-21,4966
2006-07-22,21607
2006-07-23,28312
2006-07-24,7907
2006-07-25,10016
2006-07-26,2862
2006-07-27,573
2006-07-28,804
2006-07-29,10621
2006-07-30,28799
2006-07-31,18546
2006-08-01,17475
2006-08-02,13714
2006-08-03,10275
2006-08-04,9682
2006-08-05,13227
2006-08-06,14442
2006-08-07,4928
2006-08-08,4915
2006-08-09,4587
2006-08-10,4654
2006-08-11,6887
2006-08-12,17550
2006-08-13,16713
2006-08-14,7605
2006-08-15,19037
2006-08-16,3634
2006-08-17,6399
2006-08-18,7276
2006-08-19,22980
2006-08-20,31873
2006-08-21,6538
2006-08-22,6066
2006-08-23,5401
2006-08-24,5789
2006-08-25,4979
2006-08-26,17183
2006-08-27,10110
2006-08-28,4195
2006-08-29,4255
2006-08-30,5504
2006-08-31,4635
2006-09-01,5151
2006-09-02,22540
2006-09-03,34131
2006-09-04,3679
2006-09-05,6099
2006-09-06,6928
2006-09-07,6007
2006-09-08,6329
2006-09-09,7648
2006-09-10,42065
2006-09-11,5875
2006-09-12,7628
2006-09-13,6781
2006-09-14,7689
2006-09-15,6654
2006-09-16,23466
2006-09-17,21943
2006-09-18,7413
2006-09-19,7129
2006-09-20,7711
2006-09-21,8707
2006-09-22,14964
2006-09-23,34673
2006-09-24,38697
2006-09-25,6034
2006-09-26,8479
2006-09-27,9249
2006-09-28,8567
2006-09-29,14017
2006-09-30,19630
2006-10-01,32784
2006-10-02,16029
2006-10-03,41819
2006-10-04,22188
2006-10-05,21582
2006-10-06,33435
2006-10-07,49513
2006-10-08,29098
2006-10-09,7644
2006-10-10,9212
2006-10-11,11929
2006-10-12,15879
2006-10-13,24674
2006-10-14,32126
2006-10-15,37478
2006-10-16,9724
2006-10-17,13380
2006-10-18,11756
2006-10-19,16673
2006-10-20,14674
2006-10-21,27483
2006-10-22,10016
